LISTA,LBL_TIPO_METRICA,ABS_RANK,TIPO_METRICA,LOCALE,NAZIONALE,FLG_NOT_VALID,COMUNE,ANNO
FRATELLI D'ITALIA,Voti ottenuti,5,VOTI_OTTENUTI,894.0,7301303.0,0,VANZAGHELLO,2022
LEGA,Voti ottenuti,7,VOTI_OTTENUTI,454.0,2470318.0,0,VANZAGHELLO,2022
PARTITO DEMOCRATICO,Voti ottenuti,8,VOTI_OTTENUTI,392.0,5348676.0,0,VANZAGHELLO,2022
AZIONE - ITALIA VIVA,Voti ottenuti,10,VOTI_OTTENUTI,222.0,2186505.0,0,VANZAGHELLO,2022
FORZA ITALIA,Voti ottenuti,11,VOTI_OTTENUTI,186.0,2279266.0,0,VANZAGHELLO,2022
FRATELLI D'ITALIA,Percentuale (su voti validi),5,PERC_VAL,31.65,25.98,0,VANZAGHELLO,2022
FRATELLI D'ITALIA,Percentuale (su aventi diritto),5,PERC_ASS,21.53,15.86,0,VANZAGHELLO,2022
LEGA,Percentuale (su voti validi),7,PERC_VAL,16.07,8.79,0,VANZAGHELLO,2022
PARTITO DEMOCRATICO,Percentuale (su voti validi),8,PERC_VAL,13.88,19.04,0,VANZAGHELLO,2022
LEGA,Percentuale (su aventi diritto),7,PERC_ASS,10.93,5.37,0,VANZAGHELLO,2022
PARTITO DEMOCRATICO,Percentuale (su aventi diritto),8,PERC_ASS,9.44,11.62,0,VANZAGHELLO,2022
AZIONE - ITALIA VIVA,Percentuale (su voti validi),10,PERC_VAL,7.86,7.78,0,VANZAGHELLO,2022
FORZA ITALIA,Percentuale (su voti validi),11,PERC_VAL,6.58,8.11,0,VANZAGHELLO,2022
AZIONE - ITALIA VIVA,Percentuale (su aventi diritto),10,PERC_ASS,5.35,4.75,0,VANZAGHELLO,2022
FORZA ITALIA,Percentuale (su aventi diritto),11,PERC_ASS,4.48,4.95,0,VANZAGHELLO,2022
LEGA,Voti ottenuti,4,VOTI_OTTENUTI,1124.0,5698687.0,0,VANZAGHELLO,2018
MOVIMENTO 5 STELLE,Voti ottenuti,8,VOTI_OTTENUTI,586.0,10732066.0,0,VANZAGHELLO,2018
PARTITO DEMOCRATICO,Voti ottenuti,9,VOTI_OTTENUTI,561.0,6161896.0,0,VANZAGHELLO,2018
FORZA ITALIA,Voti ottenuti,10,VOTI_OTTENUTI,430.0,4596956.0,0,VANZAGHELLO,2018
FRATELLI D'ITALIA,Voti ottenuti,11,VOTI_OTTENUTI,125.0,1429550.0,0,VANZAGHELLO,2018
LEGA,Percentuale (su voti validi),4,PERC_VAL,35.88,17.35,0,VANZAGHELLO,2018
LEGA,Percentuale (su aventi diritto),4,PERC_ASS,26.82,12.25,0,VANZAGHELLO,2018
MOVIMENTO 5 STELLE,Percentuale (su voti validi),8,PERC_VAL,18.7,32.68,0,VANZAGHELLO,2018
PARTITO DEMOCRATICO,Percentuale (su voti validi),9,PERC_VAL,17.91,18.76,0,VANZAGHELLO,2018
MOVIMENTO 5 STELLE,Percentuale (su aventi diritto),8,PERC_ASS,13.98,23.08,0,VANZAGHELLO,2018
FORZA ITALIA,Percentuale (su voti validi),10,PERC_VAL,13.72,14.0,0,VANZAGHELLO,2018
PARTITO DEMOCRATICO,Percentuale (su aventi diritto),9,PERC_ASS,13.39,13.25,0,VANZAGHELLO,2018
FORZA ITALIA,Percentuale (su aventi diritto),10,PERC_ASS,10.26,9.88,0,VANZAGHELLO,2018
FRATELLI D'ITALIA,Percentuale (su voti validi),11,PERC_VAL,3.99,4.35,0,VANZAGHELLO,2018
FRATELLI D'ITALIA,Percentuale (su aventi diritto),11,PERC_ASS,2.98,3.07,0,VANZAGHELLO,2018
IL POPOLO DELLA LIBERTA',Voti ottenuti,4,VOTI_OTTENUTI,776.0,7332134.0,0,VANZAGHELLO,2013
PARTITO DEMOCRATICO,Voti ottenuti,5,VOTI_OTTENUTI,649.0,8646034.0,0,VANZAGHELLO,2013
LEGA NORD,Voti ottenuti,6,VOTI_OTTENUTI,599.0,1390534.0,0,VANZAGHELLO,2013
MOVIMENTO 5 STELLE,Voti ottenuti,7,VOTI_OTTENUTI,565.0,8691406.0,0,VANZAGHELLO,2013
SCELTA CIVICA,Voti ottenuti,8,VOTI_OTTENUTI,312.0,2823842.0,0,VANZAGHELLO,2013
IL POPOLO DELLA LIBERTA',Percentuale (su voti validi),4,PERC_VAL,24.31,21.56,0,VANZAGHELLO,2013
