ANNO,TIPO_ELEZIONI,LISTA,PERC_ASS,PERC_VAL,VOTI_OTTENUTI,COMUNE
1948,NAZIONALI,ASTENUTI,3.22,,141.0,MAGNAGO
1948,NAZIONALI,BIANCHE,1.28,,56.0,MAGNAGO
1948,NAZIONALI,DC,56.63,60.39,2481.0,MAGNAGO
1948,NAZIONALI,NULLE,1.73,,76.0,MAGNAGO
1953,NAZIONALI,ASTENUTI,2.57,,122.0,MAGNAGO
1953,NAZIONALI,BIANCHE,0.0,,0.0,MAGNAGO
1953,NAZIONALI,DC,48.21,52.38,2288.0,MAGNAGO
1953,NAZIONALI,MSI,1.66,1.81,79.0,MAGNAGO
1953,NAZIONALI,NULLE,5.39,,256.0,MAGNAGO
1953,NAZIONALI,PCI,10.43,11.33,495.0,MAGNAGO
1953,NAZIONALI,PSDI,3.27,3.55,155.0,MAGNAGO
1953,NAZIONALI,PSI,23.83,25.89,1131.0,MAGNAGO
1958,NAZIONALI,ASTENUTI,3.03,,161.0,MAGNAGO
1958,NAZIONALI,BIANCHE,2.6,,138.0,MAGNAGO
1958,NAZIONALI,DC,50.96,54.59,2705.0,MAGNAGO
1958,NAZIONALI,MSI,1.77,1.9,94.0,MAGNAGO
1958,NAZIONALI,NULLE,1.02,,54.0,MAGNAGO
1958,NAZIONALI,PCI,13.11,14.05,696.0,MAGNAGO
1958,NAZIONALI,PSDI,6.12,6.56,325.0,MAGNAGO
1958,NAZIONALI,PSI,18.16,19.46,964.0,MAGNAGO
1963,NAZIONALI,ASTENUTI,3.0,,183.0,MAGNAGO
1963,NAZIONALI,BIANCHE,2.75,,168.0,MAGNAGO
1963,NAZIONALI,DC,48.54,51.99,2962.0,MAGNAGO
1963,NAZIONALI,NULLE,0.88,,54.0,MAGNAGO
1963,NAZIONALI,PCI,13.96,14.96,852.0,MAGNAGO
1963,NAZIONALI,PLI,2.92,3.12,178.0,MAGNAGO
1963,NAZIONALI,PSDI,5.01,5.37,306.0,MAGNAGO
1963,NAZIONALI,PSI,19.81,21.22,1209.0,MAGNAGO
1968,NAZIONALI,ASTENUTI,3.62,,237.0,MAGNAGO
