COMUNE,ANNO,LISTA,LBL_TIPO_METRICA,ABS_RANK,TIPO_METRICA,LOCALE,REGIONALE,FLG_NOT_VALID
VANZAGHELLO,2023,FRATELLI D'ITALIA,Voti ottenuti,5,VOTI_OTTENUTI,526.0,725402.0,0
VANZAGHELLO,2023,LEGA,Voti ottenuti,7,VOTI_OTTENUTI,331.0,476175.0,0
VANZAGHELLO,2023,PARTITO DEMOCRATICO,Voti ottenuti,8,VOTI_OTTENUTI,322.0,628774.0,0
VANZAGHELLO,2023,FONTANA PRESIDENTE,Voti ottenuti,10,VOTI_OTTENUTI,84.0,177387.0,0
VANZAGHELLO,2023,LETIZIA MORATTI PRESIDENTE,Voti ottenuti,11,VOTI_OTTENUTI,71.0,152652.0,0
VANZAGHELLO,2023,FRATELLI D'ITALIA,Percentuale (su voti validi),5,PERC_VAL,29.62,22.35,0
VANZAGHELLO,2023,LEGA,Percentuale (su voti validi),7,PERC_VAL,18.64,14.67,0
VANZAGHELLO,2023,PARTITO DEMOCRATICO,Percentuale (su voti validi),8,PERC_VAL,18.13,19.37,0
VANZAGHELLO,2023,FRATELLI D'ITALIA,Percentuale (su aventi diritto),5,PERC_ASS,12.28,9.06,0
VANZAGHELLO,2023,LEGA,Percentuale (su aventi diritto),7,PERC_ASS,7.73,5.94,0
VANZAGHELLO,2023,PARTITO DEMOCRATICO,Percentuale (su aventi diritto),8,PERC_ASS,7.52,7.85,0
VANZAGHELLO,2023,FONTANA PRESIDENTE,Percentuale (su voti validi),10,PERC_VAL,4.73,5.47,0
VANZAGHELLO,2023,LETIZIA MORATTI PRESIDENTE,Percentuale (su voti validi),11,PERC_VAL,4.0,4.7,0
VANZAGHELLO,2023,FONTANA PRESIDENTE,Percentuale (su aventi diritto),10,PERC_ASS,1.96,2.21,0
VANZAGHELLO,2023,LETIZIA MORATTI PRESIDENTE,Percentuale (su aventi diritto),11,PERC_ASS,1.66,1.91,0
VANZAGHELLO,2018,LEGA,Voti ottenuti,4,VOTI_OTTENUTI,1164.0,1553787.0,0
VANZAGHELLO,2018,MOVIMENTO 5 STELLE,Voti ottenuti,8,VOTI_OTTENUTI,508.0,933382.0,0
VANZAGHELLO,2018,PARTITO DEMOCRATICO,Voti ottenuti,9,VOTI_OTTENUTI,472.0,1008560.0,0
VANZAGHELLO,2018,FORZA ITALIA,Voti ottenuti,10,VOTI_OTTENUTI,379.0,750739.0,0
VANZAGHELLO,2018,FRATELLI D'ITALIA,Voti ottenuti,11,VOTI_OTTENUTI,102.0,190838.0,0
VANZAGHELLO,2018,LEGA,Percentuale (su voti validi),4,PERC_VAL,36.36,27.67,0
VANZAGHELLO,2018,LEGA,Percentuale (su aventi diritto),4,PERC_ASS,27.18,19.71,0
VANZAGHELLO,2018,MOVIMENTO 5 STELLE,Percentuale (su voti validi),8,PERC_VAL,15.87,16.62,0
VANZAGHELLO,2018,PARTITO DEMOCRATICO,Percentuale (su voti validi),9,PERC_VAL,14.75,17.96,0
VANZAGHELLO,2018,MOVIMENTO 5 STELLE,Percentuale (su aventi diritto),8,PERC_ASS,11.86,11.84,0
VANZAGHELLO,2018,FORZA ITALIA,Percentuale (su voti validi),10,PERC_VAL,11.84,13.37,0
VANZAGHELLO,2018,PARTITO DEMOCRATICO,Percentuale (su aventi diritto),9,PERC_ASS,11.02,12.79,0
VANZAGHELLO,2018,FORZA ITALIA,Percentuale (su aventi diritto),10,PERC_ASS,8.85,9.52,0
VANZAGHELLO,2018,FRATELLI D'ITALIA,Percentuale (su voti validi),11,PERC_VAL,3.19,3.4,0
VANZAGHELLO,2018,FRATELLI D'ITALIA,Percentuale (su aventi diritto),11,PERC_ASS,2.38,2.42,0
VANZAGHELLO,2013,IL POPOLO DELLA LIBERTA',Voti ottenuti,6,VOTI_OTTENUTI,619.0,904742.0,0
VANZAGHELLO,2013,PARTITO DEMOCRATICO,Voti ottenuti,7,VOTI_OTTENUTI,577.0,1369440.0,0
VANZAGHELLO,2013,LEGA NORD,Voti ottenuti,8,VOTI_OTTENUTI,527.0,700907.0,0
VANZAGHELLO,2013,MARONI PRESIDENTE,Voti ottenuti,9,VOTI_OTTENUTI,451.0,552863.0,0
VANZAGHELLO,2013,MOVIMENTO 5 STELLE,Voti ottenuti,11,VOTI_OTTENUTI,407.0,775211.0,0
VANZAGHELLO,2013,IL POPOLO DELLA LIBERTA',Percentuale (su voti validi),6,PERC_VAL,19.19,15.77,0
VANZAGHELLO,2013,PARTITO DEMOCRATICO,Percentuale (su voti validi),7,PERC_VAL,17.89,23.87,0
VANZAGHELLO,2013,LEGA NORD,Percentuale (su voti validi),8,PERC_VAL,16.34,12.22,0
VANZAGHELLO,2013,IL POPOLO DELLA LIBERTA',Percentuale (su aventi diritto),6,PERC_ASS,14.53,11.69,0
VANZAGHELLO,2013,MARONI PRESIDENTE,Percentuale (su voti validi),9,PERC_VAL,13.98,9.64,0
VANZAGHELLO,2013,PARTITO DEMOCRATICO,Percentuale (su aventi diritto),7,PERC_ASS,13.55,17.7,0
VANZAGHELLO,2013,MOVIMENTO 5 STELLE,Percentuale (su voti validi),11,PERC_VAL,12.62,13.51,0
VANZAGHELLO,2013,LEGA NORD,Percentuale (su aventi diritto),8,PERC_ASS,12.37,9.06,0
VANZAGHELLO,2013,MARONI PRESIDENTE,Percentuale (su aventi diritto),9,PERC_ASS,10.59,7.14,0
VANZAGHELLO,2013,MOVIMENTO 5 STELLE,Percentuale (su aventi diritto),11,PERC_ASS,9.56,10.02,0
VANZAGHELLO,2010,IL POPOLO DELLA LIBERTA',Voti ottenuti,4,VOTI_OTTENUTI,891.0,1355133.0,0
VANZAGHELLO,2010,LEGA NORD,Voti ottenuti,5,VOTI_OTTENUTI,745.0,1117227.0,0
VANZAGHELLO,2010,PARTITO DEMOCRATICO,Voti ottenuti,6,VOTI_OTTENUTI,429.0,976215.0,0
VANZAGHELLO,2010,DI PIETRO ITALIA DEI VALORI,Voti ottenuti,7,VOTI_OTTENUTI,124.0,267954.0,0
VANZAGHELLO,2010,UNIONE DI CENTRO,Voti ottenuti,8,VOTI_OTTENUTI,77.0,164078.0,0
VANZAGHELLO,2010,UNIONE DI CENTRO,Voti ottenuti,8,VOTI_OTTENUTI,77.0,0.0,0
VANZAGHELLO,2010,IL POPOLO DELLA LIBERTA',Percentuale (su voti validi),4,PERC_VAL,32.84,28.12,0
VANZAGHELLO,2010,LEGA NORD,Percentuale (su voti validi),5,PERC_VAL,27.46,23.18,0
VANZAGHELLO,2010,IL POPOLO DELLA LIBERTA',Percentuale (su aventi diritto),4,PERC_ASS,21.14,17.61,0
VANZAGHELLO,2010,LEGA NORD,Percentuale (su aventi diritto),5,PERC_ASS,17.67,14.52,0
VANZAGHELLO,2010,PARTITO DEMOCRATICO,Percentuale (su voti validi),6,PERC_VAL,15.81,20.26,0
VANZAGHELLO,2010,PARTITO DEMOCRATICO,Percentuale (su aventi diritto),6,PERC_ASS,10.18,12.69,0
VANZAGHELLO,2010,DI PIETRO ITALIA DEI VALORI,Percentuale (su voti validi),7,PERC_VAL,4.57,5.56,0
VANZAGHELLO,2010,DI PIETRO ITALIA DEI VALORI,Percentuale (su aventi diritto),7,PERC_ASS,2.94,3.48,0
VANZAGHELLO,2010,UNIONE DI CENTRO,Percentuale (su voti validi),8,PERC_VAL,2.84,3.4,0
VANZAGHELLO,2010,UNIONE DI CENTRO,Percentuale (su voti validi),8,PERC_VAL,2.84,0.0,0
VANZAGHELLO,2010,UNIONE DI CENTRO,Percentuale (su aventi diritto),8,PERC_ASS,1.83,2.13,0
VANZAGHELLO,2010,UNIONE DI CENTRO,Percentuale (su aventi diritto),8,PERC_ASS,1.83,0.0,0
VANZAGHELLO,2005,FORZA ITALIA,Voti ottenuti,4,VOTI_OTTENUTI,568.0,1137621.0,0
VANZAGHELLO,2005,LEGA NORD,Voti ottenuti,5,VOTI_OTTENUTI,568.0,693464.0,0
VANZAGHELLO,2005,L'ULIVO,Voti ottenuti,6,VOTI_OTTENUTI,457.0,1186848.0,0
VANZAGHELLO,2005,ALLEANZA NAZIONALE,Voti ottenuti,7,VOTI_OTTENUTI,173.0,380962.0,0
VANZAGHELLO,2005,RIFONDAZIONE COMUNISTA,Voti ottenuti,9,VOTI_OTTENUTI,104.0,248703.0,0
VANZAGHELLO,2005,FORZA ITALIA,Percentuale (su voti validi),4,PERC_VAL,19.55,21.56,0
VANZAGHELLO,2005,LEGA NORD,Percentuale (su voti validi),5,PERC_VAL,19.55,13.14,0
VANZAGHELLO,2005,L'ULIVO,Percentuale (su voti validi),6,PERC_VAL,15.73,22.49,0
VANZAGHELLO,2005,FORZA ITALIA,Percentuale (su aventi diritto),4,PERC_ASS,13.67,14.89,0
VANZAGHELLO,2005,LEGA NORD,Percentuale (su aventi diritto),5,PERC_ASS,13.67,9.08,0
VANZAGHELLO,2005,L'ULIVO,Percentuale (su aventi diritto),6,PERC_ASS,11.0,15.54,0
VANZAGHELLO,2005,ALLEANZA NAZIONALE,Percentuale (su voti validi),7,PERC_VAL,5.95,7.22,0
VANZAGHELLO,2005,ALLEANZA NAZIONALE,Percentuale (su aventi diritto),7,PERC_ASS,4.16,4.99,0
VANZAGHELLO,2005,RIFONDAZIONE COMUNISTA,Percentuale (su voti validi),9,PERC_VAL,3.58,4.71,0
VANZAGHELLO,2005,RIFONDAZIONE COMUNISTA,Percentuale (su aventi diritto),9,PERC_ASS,2.5,3.26,0
VANZAGHELLO,2000,FORZA ITALIA,Voti ottenuti,4,VOTI_OTTENUTI,860.0,1539359.0,0
VANZAGHELLO,2000,LEGA NORD,Voti ottenuti,5,VOTI_OTTENUTI,534.0,702479.0,0
VANZAGHELLO,2000,MARTINAZZOLI CEN-SIN,Voti ottenuti,6,VOTI_OTTENUTI,363.0,918345.0,0
VANZAGHELLO,2000,ALLEANZA NAZIONALE,Voti ottenuti,8,VOTI_OTTENUTI,118.0,441087.0,0
VANZAGHELLO,2000,RIFONDAZIONE COMUNISTA,Voti ottenuti,9,VOTI_OTTENUTI,99.0,289572.0,0
VANZAGHELLO,2000,FORZA ITALIA,Percentuale (su voti validi),4,PERC_VAL,30.6,28.61,0
VANZAGHELLO,2000,FORZA ITALIA,Percentuale (su aventi diritto),4,PERC_ASS,21.25,20.27,0
VANZAGHELLO,2000,LEGA NORD,Percentuale (su voti validi),5,PERC_VAL,19.0,13.06,0
VANZAGHELLO,2000,LEGA NORD,Percentuale (su aventi diritto),5,PERC_ASS,13.19,9.25,0
VANZAGHELLO,2000,MARTINAZZOLI CEN-SIN,Percentuale (su voti validi),6,PERC_VAL,12.92,17.07,0
VANZAGHELLO,2000,MARTINAZZOLI CEN-SIN,Percentuale (su aventi diritto),6,PERC_ASS,8.97,12.09,0
VANZAGHELLO,2000,ALLEANZA NAZIONALE,Percentuale (su voti validi),8,PERC_VAL,4.2,8.2,0
VANZAGHELLO,2000,RIFONDAZIONE COMUNISTA,Percentuale (su voti validi),9,PERC_VAL,3.52,5.38,0
VANZAGHELLO,2000,ALLEANZA NAZIONALE,Percentuale (su aventi diritto),8,PERC_ASS,2.92,5.81,0
VANZAGHELLO,2000,RIFONDAZIONE COMUNISTA,Percentuale (su aventi diritto),9,PERC_ASS,2.45,3.81,0
VANZAGHELLO,1995,LEGA NORD,Voti ottenuti,3,VOTI_OTTENUTI,786.0,879139.0,0
VANZAGHELLO,1995,LEGA NORD,Voti ottenuti,3,VOTI_OTTENUTI,786.0,0.0,0
VANZAGHELLO,1995,FORZA ITALIA,Voti ottenuti,4,VOTI_OTTENUTI,689.0,1455706.0,0
VANZAGHELLO,1995,PDS,Voti ottenuti,6,VOTI_OTTENUTI,315.0,821280.0,0
VANZAGHELLO,1995,ALLEANZA NAZIONALE,Voti ottenuti,8,VOTI_OTTENUTI,139.0,496939.0,0
VANZAGHELLO,1995,RIFONDAZIONE COMUNISTA,Voti ottenuti,10,VOTI_OTTENUTI,126.0,381221.0,0
VANZAGHELLO,1995,RIFONDAZIONE COMUNISTA,Voti ottenuti,10,VOTI_OTTENUTI,126.0,0.0,0
VANZAGHELLO,1995,LEGA NORD,Percentuale (su voti validi),3,PERC_VAL,26.03,15.13,0
VANZAGHELLO,1995,LEGA NORD,Percentuale (su voti validi),3,PERC_VAL,26.03,0.0,0
VANZAGHELLO,1995,FORZA ITALIA,Percentuale (su voti validi),4,PERC_VAL,22.81,25.05,0
VANZAGHELLO,1995,LEGA NORD,Percentuale (su aventi diritto),3,PERC_ASS,20.43,11.71,0
VANZAGHELLO,1995,LEGA NORD,Percentuale (su aventi diritto),3,PERC_ASS,20.43,0.0,0
VANZAGHELLO,1995,FORZA ITALIA,Percentuale (su aventi diritto),4,PERC_ASS,17.91,19.39,0
VANZAGHELLO,1995,PDS,Percentuale (su voti validi),6,PERC_VAL,10.43,14.13,0
VANZAGHELLO,1995,PDS,Percentuale (su aventi diritto),6,PERC_ASS,8.19,10.94,0
VANZAGHELLO,1995,ALLEANZA NAZIONALE,Percentuale (su voti validi),8,PERC_VAL,4.6,8.55,0
VANZAGHELLO,1995,RIFONDAZIONE COMUNISTA,Percentuale (su voti validi),10,PERC_VAL,4.17,6.56,0
