TIPO_ELEZIONI,ANNO,MESE,GIORNO,CANDIDATO,CANDIDATO_LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA
COMUNALI,1995,aprile,23,DONATI GILBERTO,"DONATI GILBERTO
CENTRO",1,VOTI_OTTENUTI,1392.0,Voti ottenuti
COMUNALI,1995,aprile,23,DONATI GILBERTO,"DONATI GILBERTO
CENTRO",1,PERC_ASS,36.17,Percentuale (su aventi diritto)
COMUNALI,1995,aprile,23,DONATI GILBERTO,"DONATI GILBERTO
CENTRO",1,PERC_VAL,44.67,Percentuale (su voti validi)
COMUNALI,1995,aprile,23,ROMANO' MARCO,"ROMANO' MARCO
L.NORD-CIVICHE",2,VOTI_OTTENUTI,944.0,Voti ottenuti
COMUNALI,1995,aprile,23,ROMANO' MARCO,"ROMANO' MARCO
L.NORD-CIVICHE",2,PERC_ASS,24.53,Percentuale (su aventi diritto)
COMUNALI,1995,aprile,23,ROMANO' MARCO,"ROMANO' MARCO
L.NORD-CIVICHE",2,PERC_VAL,30.3,Percentuale (su voti validi)
COMUNALI,1995,aprile,23,VITALI MAURIZIO,"VITALI MAURIZIO
SINISTRA",3,PERC_ASS,20.27,Percentuale (su aventi diritto)
COMUNALI,1995,aprile,23,VITALI MAURIZIO,"VITALI MAURIZIO
SINISTRA",3,PERC_VAL,25.03,Percentuale (su voti validi)
COMUNALI,1995,aprile,23,VITALI MAURIZIO,"VITALI MAURIZIO
SINISTRA",3,VOTI_OTTENUTI,780.0,Voti ottenuti
COMUNALI,1995,aprile,23,ASTENUTI,ASTENUTI,4,VOTI_OTTENUTI,509.0,Voti ottenuti
COMUNALI,1995,aprile,23,ASTENUTI,ASTENUTI,4,PERC_ASS,13.23,Percentuale (su aventi diritto)
COMUNALI,1995,aprile,23,BIANCHE,BIANCHE,5,PERC_ASS,3.27,Percentuale (su aventi diritto)
COMUNALI,1995,aprile,23,BIANCHE,BIANCHE,5,VOTI_OTTENUTI,126.0,Voti ottenuti
COMUNALI,1995,aprile,23,NULLE,NULLE,6,VOTI_OTTENUTI,97.0,Voti ottenuti
