TIPO_ELEZIONI,ANNO,LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
EUROPEE,1979,ELETTORI,1,VOTI_OTTENUTI,3192.0,Voti ottenuti,1
EUROPEE,1979,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
EUROPEE,1979,VOTANTI,2,VOTI_OTTENUTI,2922.0,Voti ottenuti,1
EUROPEE,1979,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,VOTANTI,2,PERC_ASS,91.54,Percentuale (su aventi diritto),1
EUROPEE,1979,DC,3,VOTI_OTTENUTI,1224.0,Voti ottenuti,0
EUROPEE,1979,DC,3,PERC_VAL,43.65,Percentuale (su voti validi),0
EUROPEE,1979,DC,3,PERC_ASS,38.35,Percentuale (su aventi diritto),0
EUROPEE,1979,PCI,4,VOTI_OTTENUTI,719.0,Voti ottenuti,0
EUROPEE,1979,PCI,4,PERC_VAL,25.64,Percentuale (su voti validi),0
EUROPEE,1979,PCI,4,PERC_ASS,22.53,Percentuale (su aventi diritto),0
EUROPEE,1979,PSI,5,PERC_VAL,13.98,Percentuale (su voti validi),0
EUROPEE,1979,PSI,5,PERC_ASS,12.28,Percentuale (su aventi diritto),0
EUROPEE,1979,PSI,5,VOTI_OTTENUTI,392.0,Voti ottenuti,0
EUROPEE,1979,ASTENUTI,6,PERC_ASS,8.46,Percentuale (su aventi diritto),1
EUROPEE,1979,ASTENUTI,6,VOTI_OTTENUTI,270.0,Voti ottenuti,1
EUROPEE,1979,ASTENUTI,6,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,PSDI,7,PERC_ASS,3.85,Percentuale (su aventi diritto),0
EUROPEE,1979,PSDI,7,VOTI_OTTENUTI,123.0,Voti ottenuti,0
EUROPEE,1979,PSDI,7,PERC_VAL,4.39,Percentuale (su voti validi),0
EUROPEE,1979,P.RAD,8,PERC_ASS,2.66,Percentuale (su aventi diritto),0
