TIPO_ELEZIONI,ANNO,LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
REGIONALI,1970,ELETTORI,1,VOTI_OTTENUTI,2700.0,Voti ottenuti,1
REGIONALI,1970,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REGIONALI,1970,VOTANTI,2,VOTI_OTTENUTI,2592.0,Voti ottenuti,1
REGIONALI,1970,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,VOTANTI,2,PERC_ASS,96.0,Percentuale (su aventi diritto),1
REGIONALI,1970,DC,3,VOTI_OTTENUTI,1301.0,Voti ottenuti,0
REGIONALI,1970,DC,3,PERC_VAL,52.91,Percentuale (su voti validi),0
REGIONALI,1970,DC,3,PERC_ASS,48.19,Percentuale (su aventi diritto),0
REGIONALI,1970,PCI,4,VOTI_OTTENUTI,533.0,Voti ottenuti,0
REGIONALI,1970,PCI,4,PERC_VAL,21.68,Percentuale (su voti validi),0
REGIONALI,1970,PCI,4,PERC_ASS,19.74,Percentuale (su aventi diritto),0
REGIONALI,1970,PSI,5,PERC_VAL,13.18,Percentuale (su voti validi),0
REGIONALI,1970,PSI,5,PERC_ASS,12.0,Percentuale (su aventi diritto),0
REGIONALI,1970,PSI,5,VOTI_OTTENUTI,324.0,Voti ottenuti,0
REGIONALI,1970,PSU,6,PERC_ASS,4.15,Percentuale (su aventi diritto),0
REGIONALI,1970,PSU,6,VOTI_OTTENUTI,112.0,Voti ottenuti,0
REGIONALI,1970,PSU,6,PERC_VAL,4.55,Percentuale (su voti validi),0
REGIONALI,1970,ASTENUTI,7,PERC_ASS,4.0,Percentuale (su aventi diritto),1
REGIONALI,1970,ASTENUTI,7,VOTI_OTTENUTI,108.0,Voti ottenuti,1
REGIONALI,1970,ASTENUTI,7,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,BIANCHE,8,PERC_ASS,3.56,Percentuale (su aventi diritto),1
REGIONALI,1970,BIANCHE,8,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,BIANCHE,8,VOTI_OTTENUTI,96.0,Voti ottenuti,1
REGIONALI,1970,PSIUP,9,PERC_VAL,2.97,Percentuale (su voti validi),0
REGIONALI,1970,PSIUP,9,PERC_ASS,2.7,Percentuale (su aventi diritto),0
REGIONALI,1970,PSIUP,9,VOTI_OTTENUTI,73.0,Voti ottenuti,0
REGIONALI,1970,PLI,10,PERC_VAL,2.24,Percentuale (su voti validi),0
REGIONALI,1970,PLI,10,PERC_ASS,2.04,Percentuale (su aventi diritto),0
REGIONALI,1970,PLI,10,VOTI_OTTENUTI,55.0,Voti ottenuti,0
REGIONALI,1970,NULLE,11,PERC_VAL,,Percentuale (su voti validi),1
