TIPO_ELEZIONI,ANNO,LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
EUROPEE,1979,ELETTORI,1,VOTI_OTTENUTI,41811919.0,Voti ottenuti,1
EUROPEE,1979,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
EUROPEE,1979,VOTANTI,2,VOTI_OTTENUTI,36008554.0,Voti ottenuti,1
EUROPEE,1979,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,VOTANTI,2,PERC_ASS,86.12,Percentuale (su aventi diritto),1
EUROPEE,1979,DC,3,VOTI_OTTENUTI,12741814.0,Voti ottenuti,0
EUROPEE,1979,DC,3,PERC_VAL,36.49,Percentuale (su voti validi),0
EUROPEE,1979,DC,3,PERC_ASS,30.47,Percentuale (su aventi diritto),0
EUROPEE,1979,PCI,4,VOTI_OTTENUTI,10322539.0,Voti ottenuti,0
EUROPEE,1979,PCI,4,PERC_VAL,29.56,Percentuale (su voti validi),0
EUROPEE,1979,PCI,4,PERC_ASS,24.69,Percentuale (su aventi diritto),0
EUROPEE,1979,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,ASTENUTI,5,PERC_ASS,13.88,Percentuale (su aventi diritto),1
EUROPEE,1979,ASTENUTI,5,VOTI_OTTENUTI,5803365.0,Voti ottenuti,1
EUROPEE,1979,PSI,6,PERC_ASS,9.22,Percentuale (su aventi diritto),0
EUROPEE,1979,PSI,6,VOTI_OTTENUTI,3854100.0,Voti ottenuti,0
EUROPEE,1979,PSI,6,PERC_VAL,11.04,Percentuale (su voti validi),0
EUROPEE,1979,MSI-DN,7,PERC_ASS,4.56,Percentuale (su aventi diritto),0
EUROPEE,1979,MSI-DN,7,VOTI_OTTENUTI,1905190.0,Voti ottenuti,0
EUROPEE,1979,MSI-DN,7,PERC_VAL,5.46,Percentuale (su voti validi),0
EUROPEE,1979,PSDI,8,PERC_ASS,3.6,Percentuale (su aventi diritto),0
EUROPEE,1979,PSDI,8,PERC_VAL,4.31,Percentuale (su voti validi),0
EUROPEE,1979,PSDI,8,VOTI_OTTENUTI,1503392.0,Voti ottenuti,0
EUROPEE,1979,P.RAD,9,PERC_ASS,3.06,Percentuale (su aventi diritto),0
EUROPEE,1979,P.RAD,9,PERC_VAL,3.67,Percentuale (su voti validi),0
EUROPEE,1979,P.RAD,9,VOTI_OTTENUTI,1280854.0,Voti ottenuti,0
EUROPEE,1979,PLI,10,PERC_VAL,3.63,Percentuale (su voti validi),0
EUROPEE,1979,PLI,10,PERC_ASS,3.03,Percentuale (su aventi diritto),0
EUROPEE,1979,PLI,10,VOTI_OTTENUTI,1267713.0,Voti ottenuti,0
EUROPEE,1979,PRI,11,PERC_VAL,2.56,Percentuale (su voti validi),0
EUROPEE,1979,PRI,11,VOTI_OTTENUTI,893870.0,Voti ottenuti,0
EUROPEE,1979,PRI,11,PERC_ASS,2.14,Percentuale (su aventi diritto),0
EUROPEE,1979,NULLE,12,PERC_ASS,1.53,Percentuale (su aventi diritto),1
EUROPEE,1979,NULLE,12,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,NULLE,12,VOTI_OTTENUTI,640871.0,Voti ottenuti,1
EUROPEE,1979,BIANCHE,13,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1979,BIANCHE,13,VOTI_OTTENUTI,451712.0,Voti ottenuti,1
EUROPEE,1979,BIANCHE,13,PERC_ASS,1.08,Percentuale (su aventi diritto),1
EUROPEE,1979,PDUP,14,VOTI_OTTENUTI,400001.0,Voti ottenuti,0
EUROPEE,1979,PDUP,14,PERC_VAL,1.15,Percentuale (su voti validi),0
EUROPEE,1979,PDUP,14,PERC_ASS,0.96,Percentuale (su aventi diritto),0
EUROPEE,1979,DEM.PROL,15,PERC_ASS,0.59,Percentuale (su aventi diritto),0
EUROPEE,1979,DEM.PROL,15,PERC_VAL,0.71,Percentuale (su voti validi),0
EUROPEE,1979,DEM.PROL,15,VOTI_OTTENUTI,247701.0,Voti ottenuti,0
EUROPEE,1979,PPST,16,VOTI_OTTENUTI,195396.0,Voti ottenuti,0
EUROPEE,1979,PPST,16,PERC_ASS,0.47,Percentuale (su aventi diritto),0
EUROPEE,1979,PPST,16,PERC_VAL,0.56,Percentuale (su voti validi),0
EUROPEE,1979,UV,17,PERC_ASS,0.39,Percentuale (su aventi diritto),0
EUROPEE,1979,UV,17,VOTI_OTTENUTI,164642.0,Voti ottenuti,0
EUROPEE,1979,UV,17,PERC_VAL,0.47,Percentuale (su voti validi),0
EUROPEE,1979,DN-CD,18,PERC_VAL,0.4,Percentuale (su voti validi),0
EUROPEE,1979,DN-CD,18,VOTI_OTTENUTI,138759.0,Voti ottenuti,0
EUROPEE,1979,DN-CD,18,PERC_ASS,0.33,Percentuale (su aventi diritto),0
EUROPEE,1984,ELETTORI,1,VOTI_OTTENUTI,44395220.0,Voti ottenuti,1
EUROPEE,1984,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1984,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
EUROPEE,1984,VOTANTI,2,VOTI_OTTENUTI,36838783.0,Voti ottenuti,1
EUROPEE,1984,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1984,VOTANTI,2,PERC_ASS,82.98,Percentuale (su aventi diritto),1
EUROPEE,1984,PCI,3,VOTI_OTTENUTI,11641955.0,Voti ottenuti,0
EUROPEE,1984,PCI,3,PERC_VAL,33.32,Percentuale (su voti validi),0
EUROPEE,1984,PCI,3,PERC_ASS,26.22,Percentuale (su aventi diritto),0
EUROPEE,1984,DC,4,VOTI_OTTENUTI,11537949.0,Voti ottenuti,0
EUROPEE,1984,DC,4,PERC_VAL,33.02,Percentuale (su voti validi),0
EUROPEE,1984,DC,4,PERC_ASS,25.99,Percentuale (su aventi diritto),0
EUROPEE,1984,ASTENUTI,5,PERC_ASS,17.02,Percentuale (su aventi diritto),1
EUROPEE,1984,ASTENUTI,5,VOTI_OTTENUTI,7556437.0,Voti ottenuti,1
EUROPEE,1984,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
EUROPEE,1984,PSI,6,PERC_ASS,8.81,Percentuale (su aventi diritto),0
EUROPEE,1984,PSI,6,VOTI_OTTENUTI,3912599.0,Voti ottenuti,0
EUROPEE,1984,PSI,6,PERC_VAL,11.2,Percentuale (su voti validi),0
EUROPEE,1984,MSI-DN,7,PERC_ASS,5.1,Percentuale (su aventi diritto),0
EUROPEE,1984,MSI-DN,7,PERC_VAL,6.48,Percentuale (su voti validi),0
EUROPEE,1984,MSI-DN,7,VOTI_OTTENUTI,2265627.0,Voti ottenuti,0
EUROPEE,1984,PLI-PRI,8,PERC_ASS,4.81,Percentuale (su aventi diritto),0
EUROPEE,1984,PLI-PRI,8,PERC_VAL,6.11,Percentuale (su voti validi),0
EUROPEE,1984,PLI-PRI,8,VOTI_OTTENUTI,2134057.0,Voti ottenuti,0
EUROPEE,1984,PSDI,9,PERC_VAL,3.46,Percentuale (su voti validi),0
EUROPEE,1984,PSDI,9,VOTI_OTTENUTI,1208925.0,Voti ottenuti,0
EUROPEE,1984,PSDI,9,PERC_ASS,2.72,Percentuale (su aventi diritto),0
EUROPEE,1984,P.RAD,10,PERC_ASS,2.69,Percentuale (su aventi diritto),0
EUROPEE,1984,P.RAD,10,PERC_VAL,3.42,Percentuale (su voti validi),0
EUROPEE,1984,P.RAD,10,VOTI_OTTENUTI,1194935.0,Voti ottenuti,0
EUROPEE,1984,NULLE,11,PERC_VAL,,Percentuale (su voti validi),1
