TIPO_ELEZIONI,ANNO,LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
NAZIONALI,1948,ELETTORI,1,VOTI_OTTENUTI,29117554.0,Voti ottenuti,1
NAZIONALI,1948,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
NAZIONALI,1948,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
NAZIONALI,1948,VOTANTI,2,VOTI_OTTENUTI,26855741.0,Voti ottenuti,1
NAZIONALI,1948,VOTANTI,2,PERC_ASS,92.23,Percentuale (su aventi diritto),1
NAZIONALI,1948,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
NAZIONALI,1948,DC,3,VOTI_OTTENUTI,12740042.0,Voti ottenuti,0
NAZIONALI,1948,DC,3,PERC_ASS,43.75,Percentuale (su aventi diritto),0
NAZIONALI,1948,DC,3,PERC_VAL,48.51,Percentuale (su voti validi),0
NAZIONALI,1948,FR.DEMOCR.POPOLARE,4,VOTI_OTTENUTI,8136637.0,Voti ottenuti,0
NAZIONALI,1948,FR.DEMOCR.POPOLARE,4,PERC_ASS,27.94,Percentuale (su aventi diritto),0
NAZIONALI,1948,FR.DEMOCR.POPOLARE,4,PERC_VAL,30.98,Percentuale (su voti validi),0
NAZIONALI,1948,ASTENUTI,5,VOTI_OTTENUTI,2261813.0,Voti ottenuti,1
NAZIONALI,1948,ASTENUTI,5,PERC_ASS,7.77,Percentuale (su aventi diritto),1
NAZIONALI,1948,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
NAZIONALI,1948,UNITA' SOCIALISTA,6,PERC_ASS,6.38,Percentuale (su aventi diritto),0
NAZIONALI,1948,UNITA' SOCIALISTA,6,PERC_VAL,7.07,Percentuale (su voti validi),0
NAZIONALI,1948,UNITA' SOCIALISTA,6,VOTI_OTTENUTI,1858116.0,Voti ottenuti,0
NAZIONALI,1948,BLOCCO NAZIONALE,7,PERC_VAL,3.82,Percentuale (su voti validi),0
NAZIONALI,1948,BLOCCO NAZIONALE,7,VOTI_OTTENUTI,1003727.0,Voti ottenuti,0
NAZIONALI,1948,BLOCCO NAZIONALE,7,PERC_ASS,3.45,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.NAZ.MON.ALL.D.LAV.,8,PERC_VAL,2.78,Percentuale (su voti validi),0
NAZIONALI,1948,P.NAZ.MON.ALL.D.LAV.,8,VOTI_OTTENUTI,729078.0,Voti ottenuti,0
NAZIONALI,1948,P.NAZ.MON.ALL.D.LAV.,8,PERC_ASS,2.5,Percentuale (su aventi diritto),0
NAZIONALI,1948,PRI,9,PERC_VAL,2.48,Percentuale (su voti validi),0
NAZIONALI,1948,PRI,9,VOTI_OTTENUTI,651875.0,Voti ottenuti,0
NAZIONALI,1948,PRI,9,PERC_ASS,2.24,Percentuale (su aventi diritto),0
NAZIONALI,1948,MSI,10,PERC_VAL,2.01,Percentuale (su voti validi),0
NAZIONALI,1948,MSI,10,VOTI_OTTENUTI,526882.0,Voti ottenuti,0
NAZIONALI,1948,MSI,10,PERC_ASS,1.81,Percentuale (su aventi diritto),0
NAZIONALI,1948,NULLE,11,PERC_VAL,,Percentuale (su voti validi),1
NAZIONALI,1948,NULLE,11,PERC_ASS,1.47,Percentuale (su aventi diritto),1
NAZIONALI,1948,NULLE,11,VOTI_OTTENUTI,426891.0,Voti ottenuti,1
NAZIONALI,1948,BIANCHE,12,PERC_ASS,0.56,Percentuale (su aventi diritto),1
NAZIONALI,1948,BIANCHE,12,PERC_VAL,,Percentuale (su voti validi),1
NAZIONALI,1948,BIANCHE,12,VOTI_OTTENUTI,164392.0,Voti ottenuti,1
NAZIONALI,1948,PPST,13,PERC_ASS,0.43,Percentuale (su aventi diritto),0
NAZIONALI,1948,PPST,13,PERC_VAL,0.47,Percentuale (su voti validi),0
NAZIONALI,1948,PPST,13,VOTI_OTTENUTI,124243.0,Voti ottenuti,0
NAZIONALI,1948,P.CONTADINI D'ITALIA,14,PERC_ASS,0.33,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.CONTADINI D'ITALIA,14,PERC_VAL,0.37,Percentuale (su voti validi),0
NAZIONALI,1948,P.CONTADINI D'ITALIA,14,VOTI_OTTENUTI,95914.0,Voti ottenuti,0
NAZIONALI,1948,PARTITO CRISTIANO SOCIALE,15,PERC_ASS,0.25,Percentuale (su aventi diritto),0
NAZIONALI,1948,PARTITO CRISTIANO SOCIALE,15,PERC_VAL,0.28,Percentuale (su voti validi),0
NAZIONALI,1948,PARTITO CRISTIANO SOCIALE,15,VOTI_OTTENUTI,72854.0,Voti ottenuti,0
NAZIONALI,1948,PS D'AZ.,16,PERC_VAL,0.24,Percentuale (su voti validi),0
NAZIONALI,1948,PS D'AZ.,16,VOTI_OTTENUTI,61928.0,Voti ottenuti,0
NAZIONALI,1948,PS D'AZ.,16,PERC_ASS,0.21,Percentuale (su aventi diritto),0
NAZIONALI,1948,MOV.NAZ.DEM.SOC.,17,VOTI_OTTENUTI,56096.0,Voti ottenuti,0
NAZIONALI,1948,MOV.NAZ.DEM.SOC.,17,PERC_ASS,0.19,Percentuale (su aventi diritto),0
NAZIONALI,1948,MOV.NAZ.DEM.SOC.,17,PERC_VAL,0.21,Percentuale (su voti validi),0
NAZIONALI,1948,UN.MOV.FEDERALISTI,18,VOTI_OTTENUTI,52655.0,Voti ottenuti,0
NAZIONALI,1948,UN.MOV.FEDERALISTI,18,PERC_ASS,0.18,Percentuale (su aventi diritto),0
NAZIONALI,1948,UN.MOV.FEDERALISTI,18,PERC_VAL,0.2,Percentuale (su voti validi),0
NAZIONALI,1948,BLOCCO POP.UNIONISTA,19,VOTI_OTTENUTI,35899.0,Voti ottenuti,0
NAZIONALI,1948,BLOCCO POP.UNIONISTA,19,PERC_ASS,0.12,Percentuale (su aventi diritto),0
NAZIONALI,1948,BLOCCO POP.UNIONISTA,19,PERC_VAL,0.14,Percentuale (su voti validi),0
NAZIONALI,1948,PC.INTERNAZIONALISTA,20,VOTI_OTTENUTI,20736.0,Voti ottenuti,0
NAZIONALI,1948,PC.INTERNAZIONALISTA,20,PERC_ASS,0.07,Percentuale (su aventi diritto),0
NAZIONALI,1948,PC.INTERNAZIONALISTA,20,PERC_VAL,0.08,Percentuale (su voti validi),0
NAZIONALI,1948,FR.DEM.PROG.REPUB.,21,PERC_ASS,0.05,Percentuale (su aventi diritto),0
NAZIONALI,1948,FR.DEM.PROG.REPUB.,21,PERC_VAL,0.06,Percentuale (su voti validi),0
NAZIONALI,1948,FR.DEM.PROG.REPUB.,21,VOTI_OTTENUTI,14482.0,Voti ottenuti,0
NAZIONALI,1948,CONC.NAZ.COMBAT.UNIT,22,PERC_VAL,0.04,Percentuale (su voti validi),0
NAZIONALI,1948,CONC.NAZ.COMBAT.UNIT,22,VOTI_OTTENUTI,11396.0,Voti ottenuti,0
NAZIONALI,1948,CONC.NAZ.COMBAT.UNIT,22,PERC_ASS,0.04,Percentuale (su aventi diritto),0
NAZIONALI,1948,ALTRE LISTE,23,PERC_VAL,0.04,Percentuale (su voti validi),0
NAZIONALI,1948,ALTRE LISTE,23,VOTI_OTTENUTI,10545.0,Voti ottenuti,0
NAZIONALI,1948,ALTRE LISTE,23,PERC_ASS,0.04,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.DEMOLABURISTA IT.,24,PERC_VAL,0.04,Percentuale (su voti validi),0
NAZIONALI,1948,P.DEMOLABURISTA IT.,24,VOTI_OTTENUTI,10002.0,Voti ottenuti,0
NAZIONALI,1948,P.DEMOLABURISTA IT.,24,PERC_ASS,0.03,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.DEM.IND.PENSIONATI,25,PERC_VAL,0.03,Percentuale (su voti validi),0
NAZIONALI,1948,P.DEM.IND.PENSIONATI,25,VOTI_OTTENUTI,8125.0,Voti ottenuti,0
NAZIONALI,1948,P.DEM.IND.PENSIONATI,25,PERC_ASS,0.03,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.INDIPENDENTE CONTADINI,26,VOTI_OTTENUTI,6733.0,Voti ottenuti,0
NAZIONALI,1948,P.INDIPENDENTE CONTADINI,26,PERC_ASS,0.02,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.INDIPENDENTE CONTADINI,26,PERC_VAL,0.03,Percentuale (su voti validi),0
NAZIONALI,1948,FR.DEGLI ITALIANI,27,PERC_ASS,0.02,Percentuale (su aventi diritto),0
NAZIONALI,1948,FR.DEGLI ITALIANI,27,PERC_VAL,0.02,Percentuale (su voti validi),0
NAZIONALI,1948,FR.DEGLI ITALIANI,27,VOTI_OTTENUTI,5481.0,Voti ottenuti,0
NAZIONALI,1948,GR.POL.LA DESTRA,28,PERC_ASS,0.01,Percentuale (su aventi diritto),0
NAZIONALI,1948,GR.POL.LA DESTRA,28,PERC_VAL,0.02,Percentuale (su voti validi),0
NAZIONALI,1948,GR.POL.LA DESTRA,28,VOTI_OTTENUTI,4300.0,Voti ottenuti,0
NAZIONALI,1948,AS.NAZ.CONG.DIS.GUER,29,PERC_ASS,0.01,Percentuale (su aventi diritto),0
NAZIONALI,1948,AS.NAZ.CONG.DIS.GUER,29,PERC_VAL,0.01,Percentuale (su voti validi),0
NAZIONALI,1948,AS.NAZ.CONG.DIS.GUER,29,VOTI_OTTENUTI,3707.0,Voti ottenuti,0
NAZIONALI,1948,P.PATRIA E LIBERTA',30,PERC_ASS,0.01,Percentuale (su aventi diritto),0
NAZIONALI,1948,P.PATRIA E LIBERTA',30,PERC_VAL,0.01,Percentuale (su voti validi),0
NAZIONALI,1948,P.PATRIA E LIBERTA',30,VOTI_OTTENUTI,3178.0,Voti ottenuti,0
NAZIONALI,1948,CONC.RUR.IND.AOSTA,31,PERC_ASS,0.01,Percentuale (su aventi diritto),0
NAZIONALI,1948,CONC.RUR.IND.AOSTA,31,VOTI_OTTENUTI,2906.0,Voti ottenuti,0
NAZIONALI,1948,CONC.RUR.IND.AOSTA,31,PERC_VAL,0.01,Percentuale (su voti validi),0
NAZIONALI,1948,FR.ANTIBOLSCEVICO IT,32,PERC_ASS,0.01,Percentuale (su aventi diritto),0
NAZIONALI,1948,FR.ANTIBOLSCEVICO IT,32,PERC_VAL,0.01,Percentuale (su voti validi),0
NAZIONALI,1948,FR.ANTIBOLSCEVICO IT,32,VOTI_OTTENUTI,2756.0,Voti ottenuti,0
NAZIONALI,1948,UN.SOCIAL.INDIP.,33,VOTI_OTTENUTI,2637.0,Voti ottenuti,0
