TIPO_ELEZIONI,QUESITO,ANNO,PREFERENZA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,ELETTORI,1,VOTI_OTTENUTI,28005449.0,Voti ottenuti,1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,VOTANTI,2,VOTI_OTTENUTI,24946878.0,Voti ottenuti,1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,VOTANTI,2,PERC_ASS,89.08,Percentuale (su aventi diritto),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,REPUBBLICA,3,VOTI_OTTENUTI,12718641.0,Voti ottenuti,0
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,REPUBBLICA,3,PERC_ASS,45.41,Percentuale (su aventi diritto),0
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,REPUBBLICA,3,PERC_VAL,54.27,Percentuale (su voti validi),0
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,MONARCHIA,4,PERC_ASS,38.27,Percentuale (su aventi diritto),0
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,MONARCHIA,4,PERC_VAL,45.73,Percentuale (su voti validi),0
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,MONARCHIA,4,VOTI_OTTENUTI,10718502.0,Voti ottenuti,0
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,ASTENUTI,5,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,ASTENUTI,5,VOTI_OTTENUTI,3058571.0,Voti ottenuti,1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,ASTENUTI,5,PERC_ASS,10.92,Percentuale (su aventi diritto),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,BIANCHE,6,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,BIANCHE,6,VOTI_OTTENUTI,1146729.0,Voti ottenuti,1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,BIANCHE,6,PERC_ASS,4.09,Percentuale (su aventi diritto),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,NULLE,7,PERC_VAL,,Percentuale (su voti validi),1
REFERENDUM,1. REFERENDUM SULLA FORMA ISTITUZIONALE DELLO STATO,1946,NULLE,7,VOTI_OTTENUTI,363006.0,Voti ottenuti,1
