TIPO_ELEZIONI,ANNO,LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA,FLG_NOT_VALID
REGIONALI,1970,ELETTORI,1,VOTI_OTTENUTI,5710352.0,Voti ottenuti,1
REGIONALI,1970,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REGIONALI,1970,VOTANTI,2,VOTI_OTTENUTI,5453931.0,Voti ottenuti,1
REGIONALI,1970,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,VOTANTI,2,PERC_ASS,95.51,Percentuale (su aventi diritto),1
REGIONALI,1970,DC,3,VOTI_OTTENUTI,2138141.0,Voti ottenuti,0
REGIONALI,1970,DC,3,PERC_VAL,40.9,Percentuale (su voti validi),0
REGIONALI,1970,DC,3,PERC_ASS,37.44,Percentuale (su aventi diritto),0
REGIONALI,1970,PCI,4,VOTI_OTTENUTI,1210068.0,Voti ottenuti,0
REGIONALI,1970,PCI,4,PERC_VAL,23.14,Percentuale (su voti validi),0
REGIONALI,1970,PCI,4,PERC_ASS,21.19,Percentuale (su aventi diritto),0
REGIONALI,1970,PSI,5,PERC_VAL,12.41,Percentuale (su voti validi),0
REGIONALI,1970,PSI,5,PERC_ASS,11.36,Percentuale (su aventi diritto),0
REGIONALI,1970,PSI,5,VOTI_OTTENUTI,648696.0,Voti ottenuti,0
REGIONALI,1970,PSU,6,PERC_ASS,6.59,Percentuale (su aventi diritto),0
REGIONALI,1970,PSU,6,VOTI_OTTENUTI,376436.0,Voti ottenuti,0
REGIONALI,1970,PSU,6,PERC_VAL,7.2,Percentuale (su voti validi),0
REGIONALI,1970,PLI,7,PERC_ASS,5.43,Percentuale (su aventi diritto),0
REGIONALI,1970,PLI,7,VOTI_OTTENUTI,310324.0,Voti ottenuti,0
REGIONALI,1970,PLI,7,PERC_VAL,5.94,Percentuale (su voti validi),0
REGIONALI,1970,ASTENUTI,8,PERC_ASS,4.49,Percentuale (su aventi diritto),1
REGIONALI,1970,ASTENUTI,8,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,ASTENUTI,8,VOTI_OTTENUTI,256421.0,Voti ottenuti,1
REGIONALI,1970,MSI,9,PERC_VAL,3.74,Percentuale (su voti validi),0
REGIONALI,1970,MSI,9,PERC_ASS,3.43,Percentuale (su aventi diritto),0
REGIONALI,1970,MSI,9,VOTI_OTTENUTI,195791.0,Voti ottenuti,0
REGIONALI,1970,PSIUP,10,PERC_VAL,3.61,Percentuale (su voti validi),0
REGIONALI,1970,PSIUP,10,PERC_ASS,3.3,Percentuale (su aventi diritto),0
REGIONALI,1970,PSIUP,10,VOTI_OTTENUTI,188585.0,Voti ottenuti,0
REGIONALI,1970,BIANCHE,11,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,BIANCHE,11,PERC_ASS,2.83,Percentuale (su aventi diritto),1
REGIONALI,1970,BIANCHE,11,VOTI_OTTENUTI,161676.0,Voti ottenuti,1
REGIONALI,1970,PRI,12,PERC_ASS,2.2,Percentuale (su aventi diritto),0
REGIONALI,1970,PRI,12,VOTI_OTTENUTI,125767.0,Voti ottenuti,0
REGIONALI,1970,PRI,12,PERC_VAL,2.41,Percentuale (su voti validi),0
REGIONALI,1970,NULLE,13,VOTI_OTTENUTI,64044.0,Voti ottenuti,1
REGIONALI,1970,NULLE,13,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1970,NULLE,13,PERC_ASS,1.12,Percentuale (su aventi diritto),1
REGIONALI,1970,PDIUM,14,VOTI_OTTENUTI,31119.0,Voti ottenuti,0
REGIONALI,1970,PDIUM,14,PERC_VAL,0.6,Percentuale (su voti validi),0
REGIONALI,1970,PDIUM,14,PERC_ASS,0.54,Percentuale (su aventi diritto),0
REGIONALI,1970,UN.AUTONOMISTI D'IT.,15,VOTI_OTTENUTI,3389.0,Voti ottenuti,0
REGIONALI,1970,UN.AUTONOMISTI D'IT.,15,PERC_VAL,0.06,Percentuale (su voti validi),0
REGIONALI,1970,UN.AUTONOMISTI D'IT.,15,PERC_ASS,0.06,Percentuale (su aventi diritto),0
REGIONALI,1975,ELETTORI,1,VOTI_OTTENUTI,6355229.0,Voti ottenuti,1
REGIONALI,1975,ELETTORI,1,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1975,ELETTORI,1,PERC_ASS,100.0,Percentuale (su aventi diritto),1
REGIONALI,1975,VOTANTI,2,VOTI_OTTENUTI,6039977.0,Voti ottenuti,1
REGIONALI,1975,VOTANTI,2,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1975,VOTANTI,2,PERC_ASS,95.04,Percentuale (su aventi diritto),1
REGIONALI,1975,DC,3,VOTI_OTTENUTI,2182347.0,Voti ottenuti,0
REGIONALI,1975,DC,3,PERC_VAL,37.48,Percentuale (su voti validi),0
REGIONALI,1975,DC,3,PERC_ASS,34.34,Percentuale (su aventi diritto),0
REGIONALI,1975,PCI,4,PERC_ASS,27.84,Percentuale (su aventi diritto),0
REGIONALI,1975,PCI,4,VOTI_OTTENUTI,1769301.0,Voti ottenuti,0
REGIONALI,1975,PCI,4,PERC_VAL,30.39,Percentuale (su voti validi),0
REGIONALI,1975,PSI,5,PERC_ASS,12.87,Percentuale (su aventi diritto),0
REGIONALI,1975,PSI,5,VOTI_OTTENUTI,818168.0,Voti ottenuti,0
REGIONALI,1975,PSI,5,PERC_VAL,14.05,Percentuale (su voti validi),0
REGIONALI,1975,ASTENUTI,6,PERC_ASS,4.96,Percentuale (su aventi diritto),1
REGIONALI,1975,ASTENUTI,6,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1975,ASTENUTI,6,VOTI_OTTENUTI,315252.0,Voti ottenuti,1
REGIONALI,1975,PSDI,7,PERC_ASS,4.74,Percentuale (su aventi diritto),0
REGIONALI,1975,PSDI,7,PERC_VAL,5.17,Percentuale (su voti validi),0
REGIONALI,1975,PSDI,7,VOTI_OTTENUTI,300973.0,Voti ottenuti,0
REGIONALI,1975,MSI-DN,8,PERC_VAL,4.53,Percentuale (su voti validi),0
REGIONALI,1975,MSI-DN,8,VOTI_OTTENUTI,263621.0,Voti ottenuti,0
REGIONALI,1975,MSI-DN,8,PERC_ASS,4.15,Percentuale (su aventi diritto),0
REGIONALI,1975,PRI,9,PERC_VAL,3.08,Percentuale (su voti validi),0
REGIONALI,1975,PRI,9,PERC_ASS,2.82,Percentuale (su aventi diritto),0
REGIONALI,1975,PRI,9,VOTI_OTTENUTI,179508.0,Voti ottenuti,0
REGIONALI,1975,PLI,10,PERC_VAL,2.8,Percentuale (su voti validi),0
REGIONALI,1975,PLI,10,PERC_ASS,2.57,Percentuale (su aventi diritto),0
REGIONALI,1975,PLI,10,VOTI_OTTENUTI,163117.0,Voti ottenuti,0
REGIONALI,1975,BIANCHE,11,VOTI_OTTENUTI,155668.0,Voti ottenuti,1
REGIONALI,1975,BIANCHE,11,PERC_VAL,,Percentuale (su voti validi),1
REGIONALI,1975,BIANCHE,11,PERC_ASS,2.45,Percentuale (su aventi diritto),1
REGIONALI,1975,DEM.PROLETARIA,12,PERC_VAL,2.47,Percentuale (su voti validi),0
REGIONALI,1975,DEM.PROLETARIA,12,PERC_ASS,2.26,Percentuale (su aventi diritto),0
REGIONALI,1975,DEM.PROLETARIA,12,VOTI_OTTENUTI,143594.0,Voti ottenuti,0
REGIONALI,1975,NULLE,13,PERC_ASS,0.98,Percentuale (su aventi diritto),1
REGIONALI,1975,NULLE,13,VOTI_OTTENUTI,62228.0,Voti ottenuti,1
